no,question,reference_answer,,,,,,,,,,,,,,,,,,,,,,,
1,Mera Khoon 7 point hain khoon badhane ke liye kya karna hai,"Agar aapka khoon 7 point hai, toh aapko kuch khaas khana chahiye. Aapko iron se bhara khana khana chahiye jaise:
 
 1. Hari sabziyan (jaise palak, methi)
 2. Daal (rajma, chana)
 3. Gur (jaggery) aur khajoor (dates)
 4. Dried fruits jaise kishmish (raisins)
 
 Vitamin C wale khane, jaise narangi (orange) ya amla, ke saath iron khane se khoon badhne mein madad 
 Aapko doctor se bhi mil lena chahiye.",,,,,,,,,,,,,,,,,,,,,,,
2,Preganancy me khoon kitna point hona chahiye,"Pregnancy me khoon ki matra yaani hemoglobin 11 g/dl se zyada honi chahiye.
 Agar aapki hemoglobin ki matra 11 g/dl se kam hai, toh aapko iron aur folic acid ki goli leni chahiye. Doctor se puchke aapko yeh goli lena zaroori hai. Yeh aapki aur aapke baby ki sehat ke liye bahut zaruri hai.",,,,,,,,,,,,,,,,,,,,,,,
3,Pregnancy me kya khana chahiye,"Pregnancy me aapko swasth khana khana chahiye. Yeh kuch khaas cheezein hain jo aapko khani chahiye:
 
 1.Doodh, dahi, aur paneer khana chahiye kyunki yeh calcium aur protein dete hain.
 2.Hari sabziyan jaise palak aur methi khani chahiye kyunki yeh iron aur folic acid se bhari hoti hain.
 3.Narangi aur amla jaise phal khane chahiye kyunki yeh vitamins dete hain.
 4.Rajma, chana, aur moong jaise daalein khani chahiye kyunki yeh protein deta hain.
 
 Aapko bahar ke chatar-patar khane (junk food) se bachna chahiye aur din bhar mein thoda-thoda karke kayi baar khana chahiye.",,,,,,,,,,,,,,,,,,,,,,,
4,bache ka wajah badhane k liye kya khilana chaiye,"Bache ka wajan badhane ke liye aapko unhe swasth aur poshtik khana dena chahiye. Yeh kuch khaas cheezein hain:
 
 1.Khichdi, dal-chawal, ya rajma dena chahiye kyunki yeh protein se bhare hote hain.
 2.Kele, aam, aur papita jaise masale hue phal dena chahiye jo sharir ko urja dete hain.
 3.Hari sabziyan jaise palak aur gajar dena chahiye jo iron aur vitamin se bharpoor hote hain.
 4.Doodh, dahi, aur paneer dena chahiye jo calcium aur protein ka achha strot hote hain.
 
 In cheezon se bache ka wajan badhne mein madad milegi.",,,,,,,,,,,,,,,,,,,,,,,
5,Tikkaran kyu jaruri hai,"Tikkaran yaani vaccination bachon ke liye bahut zaroori hai. Isse bacha bimariyon se bach jata hai aur uske sharir mein bimari se ladne ki taakat aati hai. Tikkaran se bacha polio, khasra (measles), kalee khansi, galghotoo (diphtheria), tetanus, TB, hepatitis B, pneumonia aur dast (rotavirus diarrhea) jaise khatarnak rog se surakshit rehta hai. Isliye bacche ka har tika samay par lagwana bahut zaroori hai, taki bacha hamesha tandurust rahe.",,,,,,,,,,,,,,,,,,,,,,,
6,Bche ko tika kab kab lgta hai,"Bache ko kuch zaroori tikkay alag-alag samay par lagte hain:
 
 1.BCG vaccine janm ke samay ya ek saal ke andar lagta hai.
 2.Hepatitis B ka tika janm ke 24 ghante ke andar lagana chahiye.
 3.Polio (OPV) ka tika janm par 6, 10, aur 14 hafte ke samay diya jata hai.
 4.Pentavalent vaccine bhi 6, 10, aur 14 hafte par diya jata hai.
 5.Khasra (measles) ka tika 9 se 12 mahine ke beech lagta hai.
 
 Yeh sab tikkay bachon ko kayi tarah ki bimariyon se bachate hain.",,,,,,,,,,,,,,,,,,,,,,,
7,Meri first pregnancy Hai to Mujhe didi ka injection kitne bar lagega,"Aapki first pregnancy me TT ka injection, yaani Tetanus Toxoid (TT) ka tika, do baar lagta hai. Pehla injection pregnancy pata chalne ke shuruat me lagta hai, aur doosri khurak 4–6 hafte baad di jaati hai. Agar aapne pichle 3 saal me TT ki do khurakein le li hain, toh aapko booster ki ek aur khurak di jaayegi.",,,,,,,,,,,,,,,,,,,,,,,
8,Pregnancy mai khun ka check up Krna q zaruri hai,"Pregnancy me khun ka check-up karna zaruri hai kyunki isse aapki aur aapke baby ki sehat ka pata chalta hai. Blood test se anemia, infections aur doosri pareshaniyon ka pata lagaya ja sakta hai. Yeh check-up aapko sahi ilaj lene me madad karta hai, jaise iron aur folic acid, jo aapke baby ki vikas ke liye zaruri hain.",,,,,,,,,,,,,,,,,,,,,,,
9,Mujhe abhi 3 ra month chalu hai to mujhe kya kya check up karna jaruri hai,"Agar aapki pregnancy ke 3 mahine chalu ho gaye hain, toh aapko kuch zaruri check-ups karne chahiye:
 
 1.Apna vajan aur BP check karwayen, yeh aapki sehat aur baby ke vikas ke liye zaruri hota hai.
 2.Khoon ki jaanch mein hemoglobin ki matra dekhi jaati hai, taaki aapko anemia na ho.
 3.Peshab ki jaanch se chini aur protein ki matra ka pata lagta hai, jo pregnancy ke dauraan kaafi maayne rakhti hai.
 4.Sonography se baby ka vikas aur sthiti dekhi jaati hai, jisse doctor ko maloom padta hai ki sab kuch theek hai ya nahi.
 
 Yeh sab jaanchein ek swasth pregnancy ke liye zaruri hoti hain.",,,,,,,,,,,,,,,,,,,,,,,
10,bache ka wajan kitna hona chahiye,"Bache ka wajan unki umar ke hisaab se alag hota hai. 0 se 6 mahine ke bache ka wajan lagbhag 5–8 kg hona chahiye. 1 saal ke bache ka wajan 9–11 kg tak hona chahiye. 2 saal ke bache ka wajan 11–14 kg hona chahiye. Yeh ek lagbhag maap hai, har bache ka wajan thoda upar neeche ho sakta hai. 
 Nasdeeki sarkari aspataal pe jaake bacche ka wajan zaroor check karvayein. Agar wajan kam nikle to turant doctor se salah lein.",,,,,,,,,,,,,,,,,,,,,,,
11,pregnancy me white discharge q aata hai,Mere paas iska uttar nahin hai. Kripya apne najdik ke health facility/doctor se sampark karein.,,,,,,,,,,,,,,,,,,,,,,,
12,hospital delivery ki kya tayyari hai,"Hospital delivery ki tayyari ke liye aapko kuch zaroori cheezein pehle se rakh leni chahiye:
 
 1.Ek jhola tayaar rakhein jismein zaroori kagaz (jaise Aadhaar card, ilaaj se jude kagaz), safai ka saman (jaise sabun, tauliya), aur kapde (maa aur navjat ke liye).
 2.Kisi apne ko saath le jaayein jo aapka mannobal badhaye aur sharirik roop se madad kare.
 3.Hospital ke kharche ke liye paise tayaar rakhein aur kisi apne ko khoon dene ke liye tayaar rakhein agar zarurat pade.
 4.Jab dard shuru ho ya koi dikkat lage, turant aspataal chale jaayein.",,,,,,,,,,,,,,,,,,,,,,,
13,pregnancy me pet k nichle hisse me dard kyun hota hai,"Pregnancy ke dauraan agar pet ke niche dard ho, toh sabse pehle doctor ke paas jaana chahiye. Is dard ke kuch kaaran ho sakte hain:
 
 1.Jaise-jaise baccha pet mein bada hota hai, andar ke naadi-tanav kheenchte hain, jisse dard mehsoos hota hai.
 2.Garbh hone par sharir ke andar kayi tarah ke badlav hote hain, jisse dard ya jalan ho sakti hai.
 3.Gas ya pet saaf na hone se bhi dard ho sakta hai.
 
 Agar dard bahut ho ya ajeeb lage, toh turant doctor ki salah leni chahiye.",,,,,,,,,,,,,,,,,,,,,,,
14,acidity ho gayi h toh kya karna chahiye,"Agar aapko acidity ho gayi hai, toh aapko kuch baatein dhyan me rakhni chahiye:
 
 1.Din me baar-baar thoda-thoda khaa lein, taaki pet bhara rahe aur teekhaapan na ho.
 2.Garam paani ya jeera waala paani peene se aaram mil sakta hai.
 3.Bohot teekha aur tel wala khana na khayein, yeh acidity badha deta hai.
 4.Khaana khane ke turant baad na soyein, kam se kam 2 ghante rukkar soyein.",,,,,,,,,,,,,,,,,,,,,,,
15,bacha kis month me movement karta hai,"Garbh ke 4-5 mahine ke aas paas bacha pet ke andar hilna-jhulna shuru karta hai. Pehle halka sa mehsoos hota hai, jaise koi andar se dheere se dhakka de raha ho. Jaise-jaise mahine badhte hain, bacha zyada zor se hilta hai aur yeh aapko achhe se mehsoos hota hai.",,,,,,,,,,,,,,,,,,,,,,,
16,chakkar aa raha hai kya karu,"Agar aapko chakkar aa raha hai, toh yeh kuch kaaran se ho sakta hai:
 
 1.Khoon ki kami hone par chakkar aa sakta hai. Aapko iron aur folic acid ki davai ki zarurat ho sakti hai.
 2.Pani kam peene se bhi chakkar aata hai. Din bhar mein zyada pani peena chahiye.
 3.Agar aapka BP kam hai, toh bhi chakkar aa sakta hai.
 
 Agar chakkar baar-baar ho raha ho ya aapko aur lakshan dikh rahe ho, toh doctor se salah lena zaruri hai.",,,,,,,,,,,,,,,,,,,,,,,
17,Caeser delivery k baad kya kha sakte hai or kya nahi kha sakte hai,"Caesarean ke baad aisa khana chahiye jo sharir ko taakat de aur asaani se pach jaye:
 
 1.Doodh, dahi, daal, anaj wali cheezein, hari sabziyaan jaise palak aur gajar, aur mausam ke phal jaise seb, santra, kele lena faydemand hai. Aisa kuch khayein jo pet mein aaram se pach jaye.
 2.Bahut teekha, chipchipa khana, bahar ka khana jaise chips, burger, thanda peene waali cheezein aur chai-coffee kam se kam lein.
 
 Yeh sab aapke jaldi theek hone aur acchi sehat ke liye zaruri hai.",,,,,,,,,,,,,,,,,,,,,,,
18,calcium ki dawai kab leni chahiye or kya isse iron wali dawai k sath le sakti hu?,"Calcium ki dawai aapko din mein do baar leni chahiye, ek subah ya dopahar ke khane ke baad aur doosri raat ke khane ke baad. Yeh maa aur bacche dono ke liye zaruri hoti hai.
 
 Lekin calcium ki dawai ko iron wali dawai ke saath nahi lena chahiye, kyunki calcium iron ko sharir mein achhe se milne nahi deta. Isliye, dono dawaiyaan alag-alag samay par lena behtar hai.",,,,,,,,,,,,,,,,,,,,,,,
19,kamar me dard hai kya karu,"Agar aapko kamar mein dard ho, toh sabse pehle doctor se salah lena zaruri hai. 
 Iske alawa kuch baatein madad kar sakti hain:
 
 1.Aaram karein aur zyada bhaari kaam na karein.
 2.Kamar par garam paani ki patti ya kapda rakhne se dard mein rahat mil sakti hai.",,,,,,,,,,,,,,,,,,,,,,,
20,Khoon badhane k liye kya khana zaruri hai,"Khoon badhane ke liye kuch khaas cheezein khana zaruri hai:
 
 1.Palak, methi, chana, daal, bajra, jowar jaise cheezein khayein.
 2.Narangi, amla, aur tamatar jaise phal sabziyaan bhi khayein, yeh sharir mein khoon banane waale padarth ko achhe se milne mein madad karte hain.
 3.Sukhe meve jaise khajoor, kishmish, anjeer lena bhi faydemand hai.
 4.Til aur kaddu ke beej jaise beejon ka thoda istamaal bhi achha hota hai.
 
 Yeh sab cheezein milkar aapke sharir mein khoon badhane mein madad karti hain.",,,,,,,,,,,,,,,,,,,,,,,
21,maa ko accha dudh ke liye karna hoga,"Maa ko accha doodh banane ke liye kuch khaane ki cheezein roz khana zaruri hai:
 
 1.Doodh, dahi aur paneer jaise cheezein khayein, yeh sharir ko taakat aur haddiyan majboot banate hain.
 2.Palak, methi aur sarson jaise hari sabziyaan roz khayein, yeh khoon banane mein madad karti hain.
 3.Mausam ke phal jaise narangi, amla aur amrood khayein, yeh sharir ko majboot banate hain aur khoon banane waale padarth ko achhe se milate hain.
 4.Daal, chana, ya agar mansahari hain to anda ya murgi bhi kabhi-kabhi le sakte hain, yeh maa aur bacche dono ke liye faydemand hai.
 5.Methi daana, saunf, til, jeera, dhaniya aur sahjan (drumstick) jaise padaarthon ka bhi upyog karna chahiye
 
 In sab cheezon se maa ka doodh accha banega aur baccha bhi swasth rahega.
 Agar maa ko phir bhi doodh kam aa raha ho, toh nasdiki Health Post ya Sarkari Aspataal zaroor jaayein.",,,,,,,,,,,,,,,,,,,,,,,
22,pregnancy me mujhe konsi yojana ka labh milega,"Garbhavati hone par sarkar ki kuch madad mil sakti hai:
 
 1.Pradhan Mantri Matru Vandana Yojana: Jab aap pehli baar maa banti ho, toh sarkar ₹5000 deti hai. Yeh paisa do baar me aapke bank khate me aata hai. Isse aap bachche ke janm se pehle aur baad me thoda aaram kar sakti ho.
 2.Janani Suraksha Yojana: Agar aapke paas BPL (ration card) hai aur sarkari hospital me bachcha paida hota hai, toh gaon me ₹700 aur sheher me ₹600 milte hain.
 3.Janani Shishu Suraksha Karyakram: Isme garbhavati mahilao ko dawai, jaanch (jaise khoon aur sonography), hospital me delivery, hospital me 3 ya 7 din rehna, khana aur aane-jaane ka kharcha sab muft milta hai. Ek saal ke bacho ka bhi muft ilaj hota hai.
 
 Aapko in yojanaon ka labh lena hai toh najdeeki sarkari aspataal me sampark karna chahiye.",,,,,,,,,,,,,,,,,,,,,,,
23,pair me bohot soojan hai,"Pregnancy mein pair mein sujan hona aam baat hai. 
 Agar sujan zyada ho ya aur dikkat ho, toh doctor se milna chahiye.
 Yeh sharir mein zyada paani jama hone, wajan badhne, ya khoon theek se na ghoomne ki wajah se ho sakta hai.
 
 Sujan kam karne ke liye:
 1.Pair upar rakhkar aaram karein.
 2.Din bhar mein zyada paani peeyein.
 3.Naram aur aaramdayak jootey pehnein.",,,,,,,,,,,,,,,,,,,,,,,
24,pregancny me konsi sabji khau or konsi sabji nahi,"Garbh ke dauraan kuch sabziyaan khana faayde ka kaam karti hain aur kuch se door rehna chahiye:
 
 1.Palak, methi, sarson, gajar, lauki aur kabhi-kabhi karela khayein, yeh sharir ko taakat dete hain aur khoon badhate hain.
 2.Bahut teekhi, chipchipi, kachi aur kaccha paka hua khana na khayein, yeh pet mein jalan aur dard kar sakta hai.
 
 Yeh sab maa aur bacche ki sehat ke liye zaruri hai.",,,,,,,,,,,,,,,,,,,,,,,
25,pregancny me konsa fall khau or konsi nahi,"Garbh ke dauraan kuch phal khana maa aur bacche dono ke liye faydemand hota hai:
 
 1.Narangi, amla, amrood, kela, seb aur aam jaise phal khayein, yeh sharir ko taakat dete hain aur khoon banate hain.
 2.Bahut zyada kacche ya ajeeb se phal na khayein, yeh kabhi-kabhi nuksaan bhi kar sakte hain.
 
 Hamesha saaf aur ache se dhoye huye phal hi khayein, yeh maa aur bacche ki sehat ke liye zaruri hai.",,,,,,,,,,,,,,,,,,,,,,,
26,normal delivery k liye kya kare,"Dhyaan rahe: Har maa ki pregnancy alag hoti hai. Kabhi-kabhi doctor operation (cesarean) se delivery karne ki salah dete hain.
 
 Isliye kuch zaroori baatein dhyan mein rakhein:
 1.Niyamit roop se doctor ke paas jaakar check-up karwaayein.
 2.Roz poshtik khana khayein – jaise sabzi, daal, phal, doodh, anda, chana.
 3.Aaram bhi zaroori hai – samay par sona, khana aur aram karna maa aur bacche dono ke liye faydemand hota hai.",,,,,,,,,,,,,,,,,,,,,,,
27,Abhi mujhe 1 month hua hai to mujhe khoon janch kab karni padegi,Garbhavastha ki pushti hote hi turant najdik ke sarkari hospital ya health centre me register karein. Registration ke baad aapki khoon ki jaanch aur anya routine tests suru kiye jaate hain.,,,,,,,,,,,,,,,,,,,,,,,
28,pregnancy ke 8 mahine me sex kar saktey hai kya,Mere paas iska uttar nahin hai. Kripya apne najdik ke health facility/doctor se sampark karein.,,,,,,,,,,,,,,,,,,,,,,,
29,Pregnant Mahila ke liye bike per baithana safe hai,Mere paas iska uttar nahin hai. Kripya apne najdik ke health facility/doctor se sampark karein.,,,,,,,,,,,,,,,,,,,,,,,
30,Best doctor Kaun Hai delivery ke liye,Delivery ke liye sarkari hospital aur health centre surakshit aur vishwasniya hote hain. Wahan trained doctors aur nurses upalabdh hote hain.,,,,,,,,,,,,,,,,,,,,,,,
31,Normal Delivery ke liye Bacchedani ka muh  khulane ke liye  kya karana padata hai,Mere paas iska uttar nahin hai. Kripya apne najdik ke health facility/doctor se sampark karein.,,,,,,,,,,,,,,,,,,,,,,,
32,Mera babu kamzor h use kanch m rakha h,Kamzor ya chhote bacchon ko aksar incubator (kanch ke box) me rakha jaata hai taaki unki dekhbhaal surakshit tarike se ho sake. Is dauraan maa ko breastfeeding continue karna chahiye.,,,,,,,,,,,,,,,,,,,,,,,
33,Kon sa formula milk best hota h bachhe k liye,Janm se 6 mahine tak sirf maa ka doodh sabse accha aur surakshit hai. Formula milk ki jagah maa ke doodh ko hi dena chahiye.,,,,,,,,,,,,,,,,,,,,,,,
34,Sonography report mein XY likha hai toh kya ladka paida hoga,Mere paas iska uttar nahin hai. Kripya apne najdik ke health facility/doctor se sampark karein.,,,,,,,,,,,,,,,,,,,,,,,
